, RLS regressions," (w/constant, w/o rule dummies).", (Rule: all)
 LHS vars (rows):,, RHS regressors (columns): ,
,irate_cum20,irate_cum40,irate_cum60
y_cum20,-0.6104,-0.5850,-0.5662
 std err,0.0272,0.0257,0.0247
 t-stat,-22.4187,-22.7750,-22.9309
 p-value,0.0000,0.0000,0.0000
 r^2,0.1174,0.1095,0.0995
 rbar^2,0.1174,0.1095,0.0995
,,,
y_cum40,-0.6555,-0.6608,-0.6374
 std err,0.0306,0.0291,0.0271
 t-stat,-21.4387,-22.7073,-23.5053
 p-value,0.0000,0.0000,0.0000
 r^2,0.0943,0.1020,0.1088
 rbar^2,0.0943,0.1020,0.1088
,,,
y_cum60,-0.6581,-0.6704,-0.6884
 std err,0.0311,0.0303,0.0292
 t-stat,-21.1896,-22.1596,-23.6106
 p-value,0.0000,0.0000,0.0000
 r^2,0.0778,0.0785,0.0913
 rbar^2,0.0778,0.0785,0.0913
,,,
pi_cum20,-0.2843,-0.2746,-0.2667
 std err,0.0164,0.0161,0.0157
 t-stat,-17.3024,-17.0534,-16.9451
 p-value,0.0000,0.0000,0.0000
 r^2,0.0585,0.0264,0.0114
 rbar^2,0.0585,0.0264,0.0114
,,,
pi_cum40,-0.2950,-0.2838,-0.2762
 std err,0.0173,0.0167,0.0163
 t-stat,-17.0555,-16.9744,-16.9514
 p-value,0.0000,0.0000,0.0000
 r^2,0.0678,0.0452,0.0322
 rbar^2,0.0678,0.0452,0.0322
,,,
pi_cum60,-0.3032,-0.2924,-0.2854
 std err,0.0185,0.0179,0.0175
 t-stat,-16.4057,-16.3535,-16.2849
 p-value,0.0000,0.0000,0.0000
 r^2,0.0507,0.0260,0.0106
 rbar^2,0.0507,0.0260,0.0106
