, RLS regressions, (w/o c or rule dummmies)., (Rule: all),,,
 RHS regressors (rows): ,, LHS vars (columns):,,,,
,y_cum20,y_cum40,y_cum60,pi_cum20,pi_cum40,pi_cum60
rrate_cum20,-0.5410,-0.5628,-0.5679,-0.3086,-0.3142,-0.3236
  std err,0.0499,0.0556,0.0563,0.0292,0.0314,0.0359
  t-stat,-10.8336,-10.1210,-10.0948,-10.5816,-10.0209,-9.0020
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
cb_authors,0.3392,0.4049,0.4968,0.1310,0.1077,0.3383
  std err,0.1774,0.1975,0.1998,0.1036,0.1114,0.1277
  t-stat,1.9124,2.0502,2.4862,1.2648,0.9669,2.6495
  p-value,0.0558,0.0403,0.0129,0.2059,0.3336,0.0081
product,-0.0096,-0.0276,0.0207,0.0933,0.0637,0.1562
  std err,0.1101,0.1226,0.1240,0.0643,0.0691,0.0792
  t-stat,-0.0869,-0.2249,0.1671,1.4513,0.9211,1.9707
  p-value,0.9308,0.8220,0.8673,0.1467,0.3570,0.0488
r^2,0.1102,0.0918,0.0795,0.0623,0.0604,0.0264
rbar^2,0.1031,0.0845,0.0721,0.0548,0.0528,0.0186
,,,,,,
rrate_cum40,-0.5273,-0.5445,-0.5479,-0.3013,-0.3151,-0.3186
  std err,0.0483,0.0546,0.0561,0.0287,0.0349,0.0368
  t-stat,-10.9223,-9.9713,-9.7593,-10.5137,-9.0209,-8.6467
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
cb_authors,0.3131,0.3367,0.4159,0.1580,0.4944,0.5327
  std err,0.1719,0.1944,0.1999,0.1020,0.1243,0.1312
  t-stat,1.8218,1.7315,2.0810,1.5487,3.9760,4.0606
  p-value,0.0685,0.0834,0.0374,0.1214,0.0001,0.0000
product,-0.0384,-0.1047,-0.0767,0.1030,0.2260,0.2384
  std err,0.1049,0.1187,0.1220,0.0623,0.0759,0.0801
  t-stat,-0.3658,-0.8819,-0.6286,1.6539,2.9780,2.9777
  p-value,0.7145,0.3778,0.5296,0.0981,0.0029,0.0029
r^2,0.1127,0.0963,0.0813,0.0564,0.0087,0.0069
rbar^2,0.1055,0.0890,0.0739,0.0488,0.0008,-0.0010
,,,,,,
rrate_cum60,-0.5302,-0.5396,-0.5332,-0.2951,-0.3100,-0.3130
  std err,0.0470,0.0536,0.0544,0.0283,0.0352,0.0372
  t-stat,-11.2752,-10.0634,-9.7976,-10.4347,-8.7954,-8.4154
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
cb_authors,0.2848,0.3061,0.3577,0.1640,0.5826,0.6375
  std err,0.1682,0.1918,0.1947,0.1011,0.1261,0.1331
  t-stat,1.6932,1.5957,1.8377,1.6212,4.6210,4.7915
  p-value,0.0904,0.1106,0.0661,0.1050,0.0000,0.0000
product,-0.0506,-0.1336,-0.1253,0.1003,0.2582,0.2774
  std err,0.1022,0.1166,0.1183,0.0615,0.0766,0.0809
  t-stat,-0.4951,-1.1454,-1.0592,1.6319,3.3694,3.4297
  p-value,0.6205,0.2520,0.2895,0.1027,0.0008,0.0006
r^2,0.1164,0.0984,0.0847,0.0555,-0.0014,-0.0036
rbar^2,0.1093,0.0911,0.0774,0.0479,-0.0094,-0.0117
