, RLS regressions, (w/o c orrule dummmies)., (Rule: itr),,,
 RHS regressors (rows): ,, LHS vars (columns):,,,,
,y_cum20,y_cum40,y_cum60,pi_cum20,pi_cum40,pi_cum60
rrate_cum20,-0.5470,-0.5450,-0.5536,-0.3369,-0.3364,-0.3346
  std err,0.1070,0.1180,0.1181,0.0388,0.0357,0.0330
  t-stat,-5.1101,-4.6183,-4.6863,-8.6849,-9.4300,-10.1495
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
stky_pr_calvo,3.6107,4.5831,4.7191,1.7295,1.6782,1.7328
  std err,0.5213,0.5748,0.5754,0.1889,0.1737,0.1606
  t-stat,6.9258,7.9728,8.2016,9.1546,9.6598,10.7912
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
product,1.2030,1.5635,1.6264,0.8070,0.7797,0.8047
  std err,0.2374,0.2617,0.2620,0.0860,0.0791,0.0731
  t-stat,5.0686,5.9742,6.2089,9.3833,9.8583,11.0077
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
r^2,0.0857,0.0845,0.0823,0.1575,0.1289,0.1455
rbar^2,0.0632,0.0619,0.0596,0.1367,0.1074,0.1244
,,,,,,
rrate_cum40,-0.5445,-0.5581,-0.5528,-0.3327,-0.3348,-0.3324
  std err,0.1099,0.1275,0.1221,0.0387,0.0371,0.0343
  t-stat,-4.9530,-4.3775,-4.5296,-8.6015,-9.0323,-9.6895
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
stky_pr_calvo,3.0788,3.3766,4.3859,1.7374,1.6188,1.6461
  std err,0.5244,0.6081,0.5821,0.1845,0.1768,0.1636
  t-stat,5.8714,5.5526,7.5340,9.4182,9.1553,10.0602
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
product,0.9844,1.0677,1.4995,0.8093,0.7516,0.7665
  std err,0.2375,0.2754,0.2636,0.0835,0.0801,0.0741
  t-stat,4.1453,3.8770,5.6877,9.6870,9.3865,10.3441
  p-value,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000
r^2,0.0555,0.0518,0.0694,0.1303,0.1087,0.1136
rbar^2,0.0322,0.0284,0.0465,0.1088,0.0867,0.0917
,,,,,,
rrate_cum60,-0.5446,-0.5530,-0.5544,-0.3327,-0.3317,-0.3306
  std err,0.1100,0.1284,0.1243,0.0394,0.0351,0.0342
  t-stat,-4.9500,-4.3076,-4.4614,-8.4539,-9.4583,-9.6673
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
stky_pr_calvo,2.9017,3.2200,4.0529,1.7240,1.7467,1.7200
  std err,0.5186,0.6052,0.5858,0.1855,0.1653,0.1612
  t-stat,5.5953,5.3203,6.9189,9.2932,10.5660,10.6692
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
product,0.9125,1.0087,1.3681,0.8085,0.8039,0.7947
  std err,0.2356,0.2750,0.2661,0.0843,0.0751,0.0732
  t-stat,3.8729,3.6684,5.1405,9.5931,10.7039,10.8500
  p-value,0.0001,0.0002,0.0000,0.0000,0.0000,0.0000
r^2,0.0477,0.0433,0.0619,0.1227,0.1227,0.1159
rbar^2,0.0242,0.0196,0.0388,0.1010,0.1010,0.0940
