model,n_rules_present,n_clusters_seen,dominant_cluster,dominant_share,stability_class
NK_MPT10,3,2,1,0.6666666666666666,rule_switcher
US_FRB03,3,2,1,0.6666666666666666,rule_switcher
US_IAC05,3,2,1,0.6666666666666666,rule_switcher
NK_CFP10,3,1,0,1.0,stable_fast_high_power
NK_CW09,3,1,0,1.0,stable_fast_high_power
NK_DT12,3,1,0,1.0,stable_fast_high_power
NK_GLSV07,3,1,0,1.0,stable_fast_high_power
NK_GM07,3,1,0,1.0,stable_fast_high_power
NK_MI14,3,1,0,1.0,stable_fast_high_power
NK_NS14,3,1,0,1.0,stable_fast_high_power
NK_RW97,3,1,0,1.0,stable_fast_high_power
US_KS15,3,1,0,1.0,stable_fast_high_power
G2_SIGMA08,3,1,1,1.0,stable_slow_moderate
G3_CW03,3,1,1,1.0,stable_slow_moderate
G7_TAY93,3,1,1,1.0,stable_slow_moderate
NK_AFL15,3,1,1,1.0,stable_slow_moderate
NK_BGG99,3,1,1,1.0,stable_slow_moderate
NK_BGUS10,3,1,1,1.0,stable_slow_moderate
NK_CGG02,3,1,1,1.0,stable_slow_moderate
NK_CK08,3,1,1,1.0,stable_slow_moderate
NK_DEFK17,3,1,1,1.0,stable_slow_moderate
NK_ET14,3,1,1,1.0,stable_slow_moderate
NK_FLMF18,3,1,1,1.0,stable_slow_moderate
NK_GHP16,3,1,1,1.0,stable_slow_moderate
NK_GK11,3,1,1,1.0,stable_slow_moderate
NK_GK13,3,1,1,1.0,stable_slow_moderate
NK_GSSZ17,3,1,1,1.0,stable_slow_moderate
NK_IR04,3,1,1,1.0,stable_slow_moderate
NK_KM16,3,1,1,1.0,stable_slow_moderate
NK_KRS12,3,1,1,1.0,stable_slow_moderate
NK_KW16,3,1,1,1.0,stable_slow_moderate
NK_MCN99cr,3,1,1,1.0,stable_slow_moderate
NK_MM10,1,1,1,1.0,stable_slow_moderate
NK_PP17,3,1,1,1.0,stable_slow_moderate
NK_RA16,3,1,1,1.0,stable_slow_moderate
NK_RW06,3,1,1,1.0,stable_slow_moderate
NK_ST13,3,1,1,1.0,stable_slow_moderate
US_ACELm,2,1,1,1.0,stable_slow_moderate
US_AJ16,3,1,1,1.0,stable_slow_moderate
US_BKM12,3,1,1,1.0,stable_slow_moderate
US_CCF12,2,1,1,1.0,stable_slow_moderate
US_CCTW10,3,1,1,1.0,stable_slow_moderate
US_CD08,3,1,1,1.0,stable_slow_moderate
US_CET15,3,1,1,1.0,stable_slow_moderate
US_CFOP14,3,1,1,1.0,stable_slow_moderate
US_CFP17exo,3,1,1,1.0,stable_slow_moderate
US_CMR10,3,1,1,1.0,stable_slow_moderate
US_CMR14,2,1,1,1.0,stable_slow_moderate
US_CPS10,3,1,1,1.0,stable_slow_moderate
US_DG08,3,1,1,1.0,stable_slow_moderate
US_DNGS15,3,1,1,1.0,stable_slow_moderate
US_FGKR15,3,1,1,1.0,stable_slow_moderate
US_FM95,3,1,1,1.0,stable_slow_moderate
US_FMS134,3,1,1,1.0,stable_slow_moderate
US_FU19,3,1,1,1.0,stable_slow_moderate
US_FV15,3,1,1,1.0,stable_slow_moderate
US_HL16,3,1,1,1.0,stable_slow_moderate
US_IN10,3,1,1,1.0,stable_slow_moderate
US_IR11,3,1,1,1.0,stable_slow_moderate
US_JPT11,3,1,1,1.0,stable_slow_moderate
US_KK14,3,1,1,1.0,stable_slow_moderate
US_LTW17,3,1,1,1.0,stable_slow_moderate
US_MI07AL,1,1,1,1.0,stable_slow_moderate
US_MR07,3,1,1,1.0,stable_slow_moderate
US_OR03,3,1,1,1.0,stable_slow_moderate
US_OW98,3,1,1,1.0,stable_slow_moderate
US_PM08fl,3,1,1,1.0,stable_slow_moderate
US_PV15,3,1,1,1.0,stable_slow_moderate
US_RA07,3,1,1,1.0,stable_slow_moderate
US_RE09,3,1,1,1.0,stable_slow_moderate
US_RS99,3,1,1,1.0,stable_slow_moderate
US_SW07,3,1,1,1.0,stable_slow_moderate
US_VI16gk,2,1,1,1.0,stable_slow_moderate
US_VMDno,3,1,1,1.0,stable_slow_moderate
US_YR13AL,3,1,1,1.0,stable_slow_moderate
