model,rule,IScurve20,infl_per_rr20,sacratio20,y_timing_max,piq_timing_max,IScurve20_out_1_99,infl_per_rr20_out_1_99,sacratio20_out_1_99,y_timing_max_out_1_99,piq_timing_max_out_1_99,n_outlier_flags
US_CCF12,Growth,-10.723366,-5.343422,28.05145,25.0,1.0,True,True,False,True,False,3
NK_NS14,Growth,12.704152,2.846872,56.818375,1.0,1.0,True,True,False,False,False,2
NK_KW16,Growth,-8.154112,-2.9065127,14.196266,3.0,1.0,True,True,False,False,False,2
NK_ET14,Taylor,-0.13895817,18.567568,82.34257,1.0,1.0,False,True,False,False,False,1
US_RS99,Inertial_Taylor,-1.0662985,-0.8843511,13.24241,8.0,21.0,False,False,False,False,True,1
US_PV15,Growth,0.013816692,-0.07287581,226.88905,2.0,4.0,True,False,False,False,False,1
NK_GLSV07,Growth,-3.080499,-2.955461,3.6392722,1.0,1.0,False,True,False,False,False,1
NK_ET14,Growth,-0.017670138,-1.2867848,-6.01877,1.0,1.0,False,False,True,False,False,1
US_PV15,Inertial_Taylor,-0.12396247,-0.075872414,384.6057,2.0,3.0,False,False,True,False,False,1
US_CFOP14,Taylor,0.10787733,-0.024060264,0.3107178,1.0,12.0,True,False,False,False,False,1
NK_NS14,Inertial_Taylor,-13.097503,-0.23117317,21.764202,1.0,1.0,True,False,False,False,False,1
NK_KW16,Inertial_Taylor,-4.939347,0.72845423,9.498955,3.0,1.0,False,True,False,False,False,1
NK_ET14,Inertial_Taylor,-0.017559903,-1.3049636,-6.0769587,1.0,1.0,False,False,True,False,False,1
US_PV15,Taylor,0.0070664594,-0.021715134,360.37567,1.0,2.0,False,False,True,False,False,1
US_MI07AL,Taylor,-0.002437201,-0.17743745,8.872213,1.0,16.0,False,False,False,False,True,1
US_DG08,Taylor,-0.7317667,-0.013312075,6.5310135,10.0,3.0,False,False,False,True,False,1
US_RS99,Growth,-0.86448646,-0.6591286,13.2803335,8.0,28.0,False,False,False,False,True,1
