outcome,group,base_cv_r2,group_permute_r2_drop
IScurve20,nonmodel,0.05029363933637809,0.07847424022556866
IScurve20,real,0.05029363933637809,0.07771309820769431
IScurve20,rules,0.05029363933637809,0.07546221927205402
IScurve20,nominal,0.05029363933637809,0.05776694310027401
infl_per_rr20,rules,-0.4822792953949782,0.5249233384779688
infl_per_rr20,nominal,-0.4822792953949782,-0.003353085303386116
infl_per_rr20,nonmodel,-0.4822792953949782,-0.025432398886438556
infl_per_rr20,real,-0.4822792953949782,-0.21554468809856558
piq_timing_max,nonmodel,0.45733560606693013,0.794763111377978
piq_timing_max,nominal,0.45733560606693013,0.03591753699460498
piq_timing_max,real,0.45733560606693013,0.031842981635075596
piq_timing_max,rules,0.45733560606693013,-0.007977485150694963
sacratio20,nonmodel,0.19242472279761483,0.4422263359805944
sacratio20,nominal,0.19242472279761483,0.0714702149964073
sacratio20,real,0.19242472279761483,0.03184121746419568
sacratio20,rules,0.19242472279761483,-0.008485464649141706
y_timing_max,nonmodel,0.29046350141885907,0.7060648286155455
y_timing_max,rules,0.29046350141885907,0.1656380977330131
y_timing_max,real,0.29046350141885907,0.10003200516766664
y_timing_max,nominal,0.29046350141885907,-0.0005952309477107676
