outcome,rule_a,rule_b,n_models,spearman_rho,spearman_p,pearson_r,pearson_p
IScurve20,Inertial_Taylor,Growth,73,0.8717758854745157,1.0726391471860627e-23,-0.2308345509354877,0.04943345092477177
IScurve20,Taylor,Growth,69,0.6931311655096822,4.111062611817982e-11,-0.17027484405679005,0.16187058420875244
IScurve20,Taylor,Inertial_Taylor,69,0.8963098282791379,2.3467527514844594e-25,0.9757208427378157,6.453167095740099e-46
infl_per_rr20,Inertial_Taylor,Growth,73,0.4560656546957918,5.0148721118043644e-05,0.1731425585309588,0.1429518502613514
infl_per_rr20,Taylor,Growth,69,0.3569601753744977,0.002605363402874189,-0.07712652303168689,0.5287625059593547
infl_per_rr20,Taylor,Inertial_Taylor,69,0.8165875045670443,1.2082126920757443e-17,-0.1335157961194304,0.27408230927372496
piq_timing_max,Inertial_Taylor,Growth,73,0.9267292860630097,6.653053533583336e-32,0.9825027867865507,1.441185623971146e-53
piq_timing_max,Taylor,Growth,69,0.8111832069411676,2.911053244790514e-17,0.8088443248909202,4.2224175895364374e-17
piq_timing_max,Taylor,Inertial_Taylor,69,0.8471212438492711,4.572127521950724e-20,0.8343800023975222,5.375045490540616e-19
sacratio20,Inertial_Taylor,Growth,65,0.9752622377622377,5.1774436880366616e-43,0.971170862222939,6.044505498150913e-41
sacratio20,Taylor,Growth,61,0.8640930724484398,3.055977989276441e-19,0.935766713317468,2.1557045914468814e-28
sacratio20,Taylor,Inertial_Taylor,61,0.8983606557377047,9.550671183296803e-23,0.9725744350577944,4.52292906494128e-39
y_timing_max,Inertial_Taylor,Growth,73,0.9769181988362289,2.4451896680688388e-49,0.7779218827918158,5.661082977875105e-16
y_timing_max,Taylor,Growth,69,0.5769901164090177,2.1100793466724478e-07,0.5625700872431327,4.880594327966283e-07
y_timing_max,Taylor,Inertial_Taylor,69,0.6182067397806056,1.5148888405122633e-08,0.597603739097699,5.919695693260578e-08
